DATE,LOC,lat,long,NAME,DEATHS,INJURIES
10/1/2015,"Roseburg, OR",43.216505,-123.341738,Umpqua Community College,10,9
10/6/2015,"Houston, TX",29.760427,-95.369803,Texas South University ,,
10/9/2015,"Flagstaff, AZ",35.198284,-111.651302,Northern Arizona University ,1,3
10/9/2015,"Houston, TX",29.760427,-95.369803,Texas Southern University ,1,1
10/11/2015,"Tampa, FL",27.950575,-82.457178,University of South Florida,,
10/15/2915,"Langston, OK",35.945051,-97.255314,Langston University ,,
10/22/2015,"Nashville, TN",36.162664,-86.781602,Tennessee State University,1,3
10/25/2015,"Durham, NC",35.994033,-78.898619,North Carolina Central University,,
11/1/2015,"Winston-Salem, NC",36.09986,-80.244216,Winston-Salem State University ,1,1
11/29/2015,"Columbus, OH",39.961176,-82.998794,Ohio State University,,
12/18/2015,"Jackson, TN",35.614517,-88.813947,Lane college ,,
12/29/2015,"Greeley, CO",40.423314,-104.709132,Aims Community College,,
2/23/2006,"Roseburg, OR",43.216505,-123.341738,Roseburg High School,0,1
3/14/2006,"Reno, NV",39.529633,-119.813803,Pine Middle School,0,2
8/30/2006,"Hillsborough, NC",36.075418,-79.099735,Orange High School,0,2
9/27/2006,"Bailey, CO",39.406054,-105.478641,Platte Canyon High School,2,0
9/29/2006,"Cazenovia, WI",43.523035,-90.196238,Weston High School,1,0
10/2/2006,"Nickel Mines, PA",39.959214,-76.080417,Nickel Mines School,6,3
10/9/2006,"Joplin, MO",37.084227,-94.513281,Memorial Middle School,0,0
1/3/2007,"Tacoma, WA",47.252877,-122.444291,Henry Foss High School,1,0
3/7/2007,"Compton, CA",33.895849,-118.220071,Centennial High School,0,1
10/10/2007,"Cleveland, OH",41.49932,-81.694361,SucessTech Academy ,1,4
2/4/2008,"Memphis, TN",35.149534,-90.04898,Hamilton High School,0,1
2/12/2008,"Oxnard, CA",34.197505,-119.177052,E.O. Green Junior High School,1,0
4/21/2008,"Knoxville, TN",35.960638,-83.920739,Central High School,1,0
8/14/2008,"Federal Way, WA",47.322322,-122.312622,Lakota Middle School,1,0
10/16/2008,"Detroit, MI",42.331427,-83.045754,Henry Ford High School,1,3
11/13/2008,"Fort Lauderdale, FL",26.122439,-80.137317,Dillard High School,1,0
1/3/2009,"Chicago, IL",41.878114,-87.629798,Dunbar High School,0,5
5/18/2009,"Larose, LA",29.572438,-90.381748,Larose Cut-off Middle school,1,0
6/16/2009,"San Francisco, CA",37.77493,-122.419416,International Studies Academy,0,3
2/5/2010,"Madison, AL",34.699258,-86.748332,Discovery Middle School,1,0
2/23/2010,"Littleton, CO",39.613321,-105.01665,Deer Creek Middle School,0,2
10/1/2010,"Salinas, CA",36.677737,-121.655501,Alisal High School,1,0
10/8/2010,"Carlsbad, CA",33.158093,-117.350594,Kelly Elementary School,0,2
11/8/2010,"Detroit, MI",42.331427,-83.045754,Mumford High School,0,2
11/29/2010,"Marinette, WI",45.099985,-87.630662,Marinette High School,1,0
12/6/2010,"Aurora, CO",39.729432,-104.83192,Aurora Central High School,0,1
1/5/2011,"Omaha, NE",41.252363,-95.997988,Millard South High School,2,2
3/25/2011,"Martinsville, IN",39.427825,-86.428328,Martinsville West Middle School,0,1
3/31/2011,"Houston, TX",29.760427,-95.369803,Worthing High School,1,5
5/23/2011,"Pearl City, HI",21.397222,-157.973333,Highlands Intermediate School,0,1
10/24/2011,"Fayetteville, NC",35.052664,-78.878358,Cape Fear High School,0,1
